employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-95822412,Isaac,Bakshi,Female,Maharashtra,Pune,2016-10-14,Customer Service,Help Desk Technician,High School,334245,Good,No,1981-06-16,2021-07-05
00-42868828,Anvi,Konda,Male,Kerala,Kochi,2017-03-28,IT,System Administrator,Bachelor,579262,Good,No,1972-02-25,2019-06-14
00-83197857,Liam,Chaudry,Male,Karnataka,Mangalore,2016-09-19,Operations,Logistics Coordinator,Bachelor,372853,Good,No,1996-03-20,2021-03-06
00-13999315,Gagan,Sami,Male,Karnataka,Mangalore,2016-01-13,Operations,Inventory Specialist,Bachelor,402906,Good,No,1986-04-05,2018-11-06
00-90801586,Ayushman,Chander,Male,Uttar Pradesh,Varanasi,2015-03-26,IT,Software Developer,Bachelor,557955,Good,No,1990-12-13,2017-11-29
00-97226012,Viraj,Tiwari,Male,Maharashtra,Mumbai,2022-08-22,Sales,Sales Specialist,Bachelor,552242,Good,Yes,1990-06-11,2023-02-18
00-70291817,Avi,Issac,Male,Delhi,Rohini,2020-10-05,Customer Service,Help Desk Technician,High School,433515,Satisfactory,Yes,1974-08-20,2021-04-03
00-31429110,Oni,Kannan,Male,Karnataka,Mysuru,2022-06-24,IT,Software Developer,Master,482192,Good,Yes,1983-09-11,2022-12-21
00-30868105,Arunima,Ahuja,Male,Maharashtra,Pune,2017-10-22,IT,Software Developer,Bachelor,549729,Satisfactory,No,1979-01-12,2021-11-15
00-22448136,Nathaniel,Sami,Female,Tamil Nadu,Madurai,2018-05-13,Operations,Inventory Specialist,Bachelor,352201,Good,Yes,1975-10-06,2022-03-30
00-56164955,Arunima,Dugal,Male,Maharashtra,Pune,2021-03-25,IT,IT Manager,Master,782318,Good,Yes,1995-01-24,2021-09-21
00-71662963,Gayathri,Chaudry,Male,Maharashtra,Pune,2020-02-06,Sales,Sales Representative,Bachelor,324723,Satisfactory,Yes,1983-10-22,2024-01-28
00-84093639,Lajita,Chatterjee,Male,Maharashtra,Mumbai,2017-05-20,Operations,Inventory Specialist,Bachelor,416617,Satisfactory,Yes,1997-01-05,2018-01-04
00-58537831,Hemangini,Lalla,Female,Karnataka,Mysuru,2020-11-09,Operations,Inventory Specialist,Bachelor,323753,Good,No,1975-10-17,2021-05-08
00-16150444,Caleb,Sharaf,Male,Tamil Nadu,Madurai,2022-07-28,Operations,Logistics Coordinator,Bachelor,400650,Good,No,1992-05-04,2023-01-24
00-41244663,Jeet,Radhakrishnan,Female,West Bengal,Kolkata,2023-01-31,Marketing,Content Creator,High School,357361,Satisfactory,No,1997-03-05,2023-07-30
00-70855700,Chaaya,Pathak,Male,Uttar Pradesh,Varanasi,2021-08-13,HR,HR Assistant,Bachelor,389138,Good,No,1989-10-26,2022-02-09
00-59684848,Rehaan,Boase,Male,Karnataka,Bengaluru,2018-01-18,Sales,Sales Representative,Bachelor,476104,Needs Improvement,No,1976-02-04,2019-12-08
00-96977837,Vedant,Mann,Female,Maharashtra,Pune,2016-01-31,Operations,Operations Analyst,Bachelor,389732,Excellent,No,1975-10-21,2023-01-29
00-81691040,Viraj,Chaudhuri,Male,Maharashtra,Nagpur,2022-05-28,Operations,Logistics Coordinator,Bachelor,393670,Needs Improvement,No,1987-10-31,2022-11-24
